Timestamp: 2026-02-01 11:29:59
symbol,kite_token,breeze_code,priority
STLTECH,2383105,STETEC,5
EUROPRATIK,194508033,EURPRA,5
ADVENTHTL,194500865,ADHOIN,5
QPOWER,7606017,QUAPOW,5
AMBER,303361,AMBEN,5
GARUDA,6604801,GAUCON,5
RAYMOND,731905,RAYMON,5
DREDGECORP,2885377,DRECOR,5
SYRMA,2763009,SYRTEC,5
CGPOWER,194561,CROGRE,5
MCX,7982337,MCX,5
HINDCOPPER,4592385,HINCOP,5
HINDZINC,364545,HINZIN,5
NATIONALUM,1629185,NATALU,5
CUBEXTUB,1040385,CUBTUB,5
MUTHOOTFIN,6054401,MUTFIN,5
FEDFINA,5202433,FEDFIN,5
BAJAJCON,4999937,BAJCOR,5
DCBBANK,3513601,DCB,5
BHAGYANGR,5324545,BHALIM,5

Timestamp: 2026-02-01 11:26:16
symbol,kite_token,breeze_code,priority
STLTECH,2383105,STETEC,5
EUROPRATIK,194508033,EURPRA,5
DREDGECORP,2885377,DRECOR,5
ADVENTHTL,194500865,ADHOIN,5
GARUDA,6604801,GAUCON,5
RAYMOND,731905,RAYMON,5
QPOWER,7606017,QUAPOW,5
SHILPAMED,4544513,SHIME,5
CGPOWER,194561,CROGRE,5
REDTAPE,4571905,REDLIM,5
MCX,7982337,MCX,5
HINDCOPPER,4592385,HINCOP,5
HINDZINC,364545,HINZIN,5
FEDFINA,5202433,FEDFIN,5
NATIONALUM,1629185,NATALU,5
CUBEXTUB,1040385,CUBTUB,5
MUTHOOTFIN,6054401,MUTFIN,5
DCBBANK,3513601,DCB,5
BAJAJCON,4999937,BAJCOR,5
BHAGYANGR,5324545,BHALIM,5

Timestamp: 2026-02-01 11:22:38
symbol,kite_token,breeze_code,priority
STLTECH,2383105,STETEC,5
EUROPRATIK,194508033,EURPRA,5
GARUDA,6604801,GAUCON,5
DREDGECORP,2885377,DRECOR,5
SYRMA,2763009,SYRTEC,5
ADVENTHTL,194500865,ADHOIN,5
KRISHNADEF,194865153,KRIDEF,5
RAYMOND,731905,RAYMON,5
QPOWER,7606017,QUAPOW,5
CGPOWER,194561,CROGRE,5
MCX,7982337,MCX,5
HINDCOPPER,4592385,HINCOP,5
HINDZINC,364545,HINZIN,5
FEDFINA,5202433,FEDFIN,5
NATIONALUM,1629185,NATALU,5
MUTHOOTFIN,6054401,MUTFIN,5
CUBEXTUB,1040385,CUBTUB,5
DCBBANK,3513601,DCB,5
BAJAJCON,4999937,BAJCOR,5
BHAGYANGR,5324545,BHALIM,5

Timestamp: 2026-02-01 11:19:00
symbol,kite_token,breeze_code,priority
STLTECH,2383105,STETEC,5
EUROPRATIK,194508033,EURPRA,5
RAYMOND,731905,RAYMON,5
DREDGECORP,2885377,DRECOR,5
ADVENTHTL,194500865,ADHOIN,5
KITEX,7398145,KITGAR,5
GARUDA,6604801,GAUCON,5
