Timestamp: 2026-04-01 15:21:50
symbol,kite_token,breeze_code,priority
GRSE,1401601,GARREA,5
RPSGVENT,2078465,CESVEN,5
EIEL,6966529,ENVINF,5
ZAGGLE,4763649,ZAGPRE,5
SOLARWORLD,194541825,SOENER,5
DCAL,5556225,DISCAR,5
MAZDOCK,130305,MAZDOC,5
GARUDA,6604801,GAUCON,5
PENIND,5278977,PENIND,5
COCHINSHIP,5506049,COCSHI,5
WESTLIFE,2964481,WESDEV,5
HYUNDAI,6616065,HYUMOT,5
HDFCLIFE,119553,HDFSTA,5
DRREDDY,225537,DRREDD,5
ASHOKLEY,54273,ASHLEY,5
BLUESTARCO,2127617,BLUSTA,5
DBOL,2788609,DHABIO,5
LGEINDIA,194614529,LGELEC,5
APOLLOHOSP,40193,APOHOS,5
TORNTPHARM,900609,TORPHA,5

Timestamp: 2026-04-01 15:17:44
symbol,kite_token,breeze_code,priority
GRSE,1401601,GARREA,5
RPSGVENT,2078465,CESVEN,5
EIEL,6966529,ENVINF,5
SOLARWORLD,194541825,SOENER,5
ZAGGLE,4763649,ZAGPRE,5
DCAL,5556225,DISCAR,5
GARUDA,6604801,GAUCON,5
COCHINSHIP,5506049,COCSHI,5
MAZDOCK,130305,MAZDOC,5
PENIND,5278977,PENIND,5
HYUNDAI,6616065,HYUMOT,5
BLUESTARCO,2127617,BLUSTA,5
DRREDDY,225537,DRREDD,5
ASHOKLEY,54273,ASHLEY,5
WESTLIFE,2964481,WESDEV,5
HDFCLIFE,119553,HDFSTA,5
DBOL,2788609,DHABIO,5
LGEINDIA,194614529,LGELEC,5
TORNTPHARM,900609,TORPHA,5
APOLLOHOSP,40193,APOHOS,5

Timestamp: 2026-04-01 15:13:39
symbol,kite_token,breeze_code,priority
GRSE,1401601,GARREA,5
RPSGVENT,2078465,CESVEN,5
EIEL,6966529,ENVINF,5
SOLARWORLD,194541825,SOENER,5
ZAGGLE,4763649,ZAGPRE,5
DCAL,5556225,DISCAR,5
PENIND,5278977,PENIND,5
MAZDOCK,130305,MAZDOC,5
COCHINSHIP,5506049,COCSHI,5
BAJEL,5255937,BAJPRO,5
HYUNDAI,6616065,HYUMOT,5
DRREDDY,225537,DRREDD,5
WESTLIFE,2964481,WESDEV,5
