Timestamp: 2026-02-01 10:21:24
symbol,kite_token,breeze_code,priority,rsi,timestamp
ASHAPURMIN,51969,ASHMIN,5,84.20,2026-02-01 10:18:00
BHARATFORG,108033,BHAFOR,5,90.43,2026-02-01 10:18:00
BHEL,112129,BHEL,5,87.90,2026-02-01 10:18:00
CIPLA,177665,CIPLA,5,83.01,2026-02-01 10:18:00
CGPOWER,194561,CROGRE,5,88.50,2026-02-01 10:18:00
DEEPAKFERT,211713,DEEFER,5,88.22,2026-02-01 10:18:00
ELGIEQUIP,239873,ELGEQU,5,92.28,2026-02-01 10:18:00
APOLLO,290305,APOMIC,5,83.37,2026-02-01 10:18:00
CASTROLIND,320001,CASIND,5,81.68,2026-02-01 10:18:00
LICHSGFIN,511233,LICHF,5,82.96,2026-02-01 10:18:00
M&M,519937,MAHMAH,5,86.67,2026-02-01 10:18:00
VTL,530689,VARTEX,5,86.85,2026-02-01 10:18:00
BDL,548865,BHADYN,5,83.91,2026-02-01 10:18:00
LEMONTREE,667137,LEMTRE,5,84.92,2026-02-01 10:18:00
MTARTECH,693505,MTATEC,5,82.38,2026-02-01 10:18:00
RAYMOND,731905,RAYMON,5,82.14,2026-02-01 10:18:00
RELIANCE,738561,RELIND,5,85.83,2026-02-01 10:18:00
SAIL,758529,SAIL,5,88.65,2026-02-01 10:18:00
SBIN,779521,STABAN,5,89.01,2026-02-01 10:18:00
TATAPOWER,877057,TATPOW,5,90.45,2026-02-01 10:18:00
TMPV,884737,TATMOT,5,81.88,2026-02-01 10:18:00
TATASTEEL,895745,TATSTE,5,86.57,2026-02-01 10:18:00
RITES,962817,RITLIM,5,86.58,2026-02-01 10:18:00
CONCOR,1215745,CONCOR,5,85.24,2026-02-01 10:18:00
KPIGREEN,1307649,KPIGLO,5,87.70,2026-02-01 10:18:00
JAICORPLTD,1316609,JAICOR,5,80.35,2026-02-01 10:18:00
INDUSINDBK,1346049,INDBA,5,80.81,2026-02-01 10:18:00
AXISBANK,1510401,AXIBAN,5,81.72,2026-02-01 10:18:00
NYKAA,1675521,FSNECO,5,83.45,2026-02-01 10:18:00
JINDALSTEL,1723649,JINSP,5,85.14,2026-02-01 10:18:00
GLENMARK,1895937,GLEPHA,5,86.44,2026-02-01 10:18:00
BLUESTARCO,2127617,BLUSTA,5,85.94,2026-02-01 10:21:00
GMRP&UI,2183425,GMRPOW,5,83.73,2026-02-01 10:18:00
NLCINDIA,2197761,NEYLIG,5,81.38,2026-02-01 10:21:00
STLTECH,2383105,STETEC,5,82.17,2026-02-01 10:18:00
SKIPPER,2413569,SKILTD,5,81.94,2026-02-01 10:18:00
