Timestamp: 2026-02-01 11:37:22
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRSE,1401601,GARREA,5,24.82,2026-02-01 11:36:00
ACUTAAS,1427969,AMIORG,5,23.74,2026-02-01 11:36:00
GUJGASLTD,2713345,GUJGA,5,24.86,2026-02-01 11:36:00
IGL,2883073,INDGAS,5,20.39,2026-02-01 11:36:00
HUBTOWN,3635969,HUBLIM,5,23.24,2026-02-01 11:36:00
CUPID,4741121,CUPRUB,5,17.59,2026-02-01 11:36:00
MUFIN,5064449,APMFIN,5,19.53,2026-02-01 11:36:00
SAWALIYA,194161665,SAFPRO,5,17.90,2026-02-01 11:24:00
GEMAROMA,194422017,GEMARO,5,23.83,2026-02-01 11:36:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:33:00
ENCOMPAS,194642177,ENCDES,5,0.00,2026-02-01 11:21:00

Timestamp: 2026-02-01 11:33:39
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRSE,1401601,GARREA,5,24.22,2026-02-01 11:33:00
ACUTAAS,1427969,AMIORG,5,23.55,2026-02-01 11:33:00
ANNAPURNA,2866689,ANNSWA,5,18.66,2026-02-01 11:33:00
IGL,2883073,INDGAS,5,21.52,2026-02-01 11:33:00
HUBTOWN,3635969,HUBLIM,5,23.93,2026-02-01 11:33:00
CUPID,4741121,CUPRUB,5,23.35,2026-02-01 11:33:00
MUFIN,5064449,APMFIN,5,19.53,2026-02-01 11:33:00
SAWALIYA,194161665,SAFPRO,5,17.90,2026-02-01 11:24:00
URBANCO,194325505,URBCOM,5,24.77,2026-02-01 11:33:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:33:00
ENCOMPAS,194642177,ENCDES,5,0.00,2026-02-01 11:21:00

Timestamp: 2026-02-01 11:29:59
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRSE,1401601,GARREA,5,24.10,2026-02-01 11:27:00
GUJGASLTD,2713345,GUJGA,5,23.33,2026-02-01 11:27:00
