Timestamp: 2026-03-12 09:19:59
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,21.69,2026-03-12 09:18:00
ABB,3329,ABB,5,24.65,2026-03-12 09:18:00
AEGISLOG,10241,AEGLOG,5,19.75,2026-03-12 09:18:00
ASHOKLEY,54273,ASHLEY,5,21.55,2026-03-12 09:18:00
ASIANPAINT,60417,ASIPAI,5,21.06,2026-03-12 09:18:00
CAMS,87553,COMAGE,5,24.46,2026-03-12 09:18:00
BERGEPAINT,103425,BERPAI,5,16.96,2026-03-12 09:18:00
BHARATFORG,108033,BHAFOR,5,15.78,2026-03-12 09:18:00
HDFCLIFE,119553,HDFSTA,5,19.48,2026-03-12 09:18:00
BPCL,134657,BHAPET,5,18.53,2026-03-12 09:18:00
GRAPHITE,151553,CAREVE,5,24.16,2026-03-12 09:18:00
CHOLAFIN,175361,CHOINV,5,23.19,2026-03-12 09:18:00
CGPOWER,194561,CROGRE,5,21.93,2026-03-12 09:18:00
DABUR,197633,DABIND,5,17.04,2026-03-12 09:18:00
EICHERMOT,232961,EICMOT,5,21.39,2026-03-12 09:18:00
ELGIEQUIP,239873,ELGEQU,5,15.18,2026-03-12 09:18:00
FEDERALBNK,261889,FEDBAN,5,23.37,2026-03-12 09:18:00
APOLLO,290305,APOMIC,5,20.60,2026-03-12 09:18:00
NEWGEN,297985,NEWSOF,5,23.72,2026-03-12 09:18:00
GODFRYPHLP,302337,GODPHI,5,21.19,2026-03-12 09:18:00
GRASIM,315393,GRASIM,5,19.14,2026-03-12 09:18:00
GSFC,319233,GSFC,5,23.09,2026-03-12 09:18:00
AMBUJACEM,325121,AMBCE,5,24.81,2026-03-12 09:18:00
HEROMOTOCO,345089,HERHON,5,22.14,2026-03-12 09:18:00
HINDUNILVR,356865,HINLEV,5,20.06,2026-03-12 09:18:00
HINDPETRO,359937,HINPET,5,17.43,2026-03-12 09:18:00
HINDZINC,364545,HINZIN,5,21.99,2026-03-12 09:18:00
INDHOTEL,387073,INDHOT,5,17.92,2026-03-12 09:18:00
IOC,415745,INDOIL,5,23.32,2026-03-12 09:18:00
TRENT,502785,TRENT,5,21.49,2026-03-12 09:18:00
LICHSGFIN,511233,LICHF,5,17.43,2026-03-12 09:18:00
M&M,519937,MAHMAH,5,22.54,2026-03-12 09:18:00
CHENNPETRO,524545,CHEPET,5,18.67,2026-03-12 09:18:00
MFSL,548353,MAXFIN,5,20.78,2026-03-12 09:18:00
MRPL,584449,MRPL,5,15.83,2026-03-12 09:18:00
RAILTEL,622337,RAICOR,5,13.90,2026-03-12 09:18:00
LEMONTREE,667137,LEMTRE,5,13.59,2026-03-12 09:18:00
LXCHEM,727297,LAXORG,5,19.21,2026-03-12 09:18:00
RCF,733697,RCF,5,20.44,2026-03-12 09:18:00
KALYANKJIL,756481,KALJEW,5,22.76,2026-03-12 09:18:00
SAIL,758529,SAIL,5,22.94,2026-03-12 09:18:00
NAZARA,764673,NAZTEC,5,17.37,2026-03-12 09:18:00
SBIN,779521,STABAN,5,19.72,2026-03-12 09:18:00
LODHA,824321,MACDEV,5,24.47,2026-03-12 09:18:00
TMPV,884737,TATMOT,5,16.74,2026-03-12 09:18:00
TATASTEEL,895745,TATSTE,5,22.50,2026-03-12 09:18:00
MOTHERSON,1076225,MOTSUM,5,20.62,2026-03-12 09:18:00
