symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
AARTIIND,AARTIIND,1793,AARIND,465.05,3902.89,2026-02-10,True,AARTI INDUSTRIES
ADANIENT,ADANIENT,6401,ADAENT,2227.3,4328.45,2026-02-10,True,ADANI ENTERPRISES
HAPPSTMNDS,HAPPSTMNDS,12289,HAPMIN,393.75,1840.47,2026-02-10,True,HAPPIEST MINDS TECHNO
SHAREINDIA,SHAREINDIA,26625,SHARIN,154.36,2153.05,2026-02-10,True,SHARE IND. SECURITIES
ROUTE,ROUTE,32769,ROUMOB,576.55,11030.73,2026-02-10,True,ROUTE MOBILE
APOLLOTYRE,APOLLOTYRE,41729,APOTYR,507.9,2816.74,2026-02-10,True,APOLLO TYRES
ARVIND,ARVIND,49409,ARVLIM,365.45,3406.97,2026-02-10,True,ARVIND
ASHAPURMIN,ASHAPURMIN,51969,ASHMIN,631.8,1386.38,2026-02-10,True,ASHAPURA MINECHEM
ASHOKLEY,ASHOKLEY,54273,ASHLEY,210.79,31339.53,2026-02-10,True,ASHOK LEYLAND
IEX,IEX,56321,INDEN,126.01,25269.16,2026-02-10,True,INDIAN ENERGY EXC
ASIANPAINT,ASIANPAINT,60417,ASIPAI,2397.4,3986.19,2026-02-10,True,ASIAN PAINTS
AUROPHARMA,AUROPHARMA,70401,AURPHA,1130.9,21929.85,2026-02-10,True,AUROBINDO PHARMA
GICRE,GICRE,70913,GIC,397.35,3884.62,2026-02-10,True,GENERAL INS CORP OF INDIA
TIINDIA,TIINDIA,79873,TUBIN,2438.8,3589.68,2026-02-10,True,TUBE INVEST OF INDIA
BAJFINANCE,BAJFINANCE,81153,BAJFI,965.15,15901.47,2026-02-10,True,BAJAJ FINANCE
ANGELONE,ANGELONE,82945,ANGBRO,2780,2278.97,2026-02-10,True,ANGEL ONE
BALRAMCHIN,BALRAMCHIN,87297,BALCHI,458.25,4843.02,2026-02-10,True,BALRAMPUR CHINI MILLS
CAMS,CAMS,87553,COMAGE,741.3,2107.76,2026-02-10,True,COMPUTER AGE MNGT SER
NAM-INDIA,NAM-INDIA,91393,RELNIP,912,2099.53,2026-02-10,True,NIPPON L I A M
BATAINDIA,BATAINDIA,94977,BATIND,917,5267.12,2026-02-10,True,BATA INDIA
BEL,BEL,98049,BHAELE,436.25,28150.61,2026-02-10,True,BHARAT ELECTRONICS
MAHLOG,MAHLOG,98561,MAHLO,402.7,4323.15,2026-02-10,True,MAHINDRA LOGISTIC
NIACL,NIACL,102145,NEWIN,159.3,6291.69,2026-02-10,True,THE NEW INDIA ASSU CO
BERGEPAINT,BERGEPAINT,103425,BERPAI,458.7,5252.23,2026-02-10,True,BERGER PAINTS (I)
BHARATFORG,BHARATFORG,108033,BHAFOR,1615,2404.49,2026-02-10,True,BHARAT FORGE
